Date,Gold_IDR_gram,USDIDR,IHSG
2016-10-12,525644.2034162403,13068.0,5364.40185546875
2016-10-13,525305.6729950006,13019.0,5340.19189453125
2016-10-14,525517.58102924,13044.0,5399.67431640625
2016-10-17,527998.6213650845,13092.0,5410.0927734375
2016-10-18,529030.5411691886,13051.0,5429.83642578125
2016-10-19,530746.0034359829,13020.0,5409.07763671875
2016-10-20,527830.0796791608,12972.0,5403.529296875
2016-10-21,529298.3046121781,13005.0,5409.08251953125
2016-10-24,529493.4653656341,13050.0,5420.83740234375
2016-10-25,532093.2730295877,13012.0,5397.66064453125
2016-10-26,527659.1198287571,12976.0,5399.5888671875
2016-10-27,530909.0590437973,13024.0,5416.8359375
2016-10-28,535280.6436574663,13053.0,5410.26904296875
2016-10-31,534010.786567428,13063.0,5422.5419921875
2016-11-01,538200.6371533812,13013.0,5416.0068359375
2016-11-02,547785.9095156845,13038.0,5405.455078125
2016-11-03,546150.6351855624,13046.0,5329.501953125
2016-11-04,547575.8367413937,13068.0,5362.66015625
2016-11-07,539003.8143739727,13115.0,5386.2080078125
2016-11-08,535791.3456526382,13087.0,5470.68115234375
2016-11-09,533572.6294988091,13041.0,5414.32080078125
2016-11-10,534501.6959506165,13137.0,5450.30615234375
2016-11-11,534501.6959506165,13588.0,5231.97119140625
2016-11-14,523839.75271384756,13342.0,5115.73876953125
2016-11-15,529645.0881733566,13459.0,5078.5009765625
2016-11-16,523642.82235196733,13313.0,5185.46484375
2016-11-17,522840.5806420499,13368.0,5193.01513671875
2016-11-18,521072.9821402736,13411.0,5170.10888671875
2016-11-21,524191.7491897327,13479.0,5148.31884765625
2016-11-22,522189.85001687915,13412.0,5204.673828125
2016-11-23,513511.04769785755,13432.0,5211.99609375
2016-11-24,513511.04769785755,13607.0,5107.623046875
2016-11-25,513576.76589413674,13558.0,5122.10400390625
2016-11-28,515996.19563388167,13480.0,5114.57177734375
2016-11-29,514787.8672521468,13479.0,5136.6669921875
2016-11-30,508243.1964016057,13502.0,5148.91015625
2016-12-01,509176.3670116757,13572.0,5198.7548828125
2016-12-02,510714.27556290134,13518.0,5245.9560546875
2016-12-05,514841.09505361127,13640.0,5268.30810546875
2016-12-06,504376.46155489434,13436.0,5272.96484375
2016-12-07,502284.3088398412,13296.0,5265.3681640625
2016-12-08,499346.8660533707,13277.0,5303.73388671875
2016-12-09,495988.4490444328,13306.0,5308.1259765625
2016-12-12,499650.18406288687,13357.0,5308.1259765625
2016-12-13,493792.07972286583,13278.0,5293.619140625
2016-12-14,495830.5222382529,13280.0,5262.81689453125
